19984,20096,20208,20300,20369,20448,20524,20604,20684,20784,20896,21008,21101,21196,21276,21356,21436,21516,21616,21708,21824,21920,22012,22092,22172,22268,22348,22432,22544,22656,22749,22848,22929,23004,23084,23164,23264,23356,23468,23580,23676,23756,23836,23916,23996,24076,24176,24288,24396,24480,24572,24653,24732,24812,24908,24992,25107,25217,25308,25388,25468,25548,25628,25708,25792,25905,26016,26108,26208,26300,26380,26476,26556,26656,26748,26864,26960,27052,27132,27212,27308,27388,27472,27584,27696,27788,27888,27968,
20512,20644,20756,20864,20960,21040,21140,21233,21364,21476,21588,21696,21809,21908,22000,22100,22212,22336,22464,22548,22656,22736,22832,22944,23056,23172,23284,23396,23476,23556,23664,23764,23860,23984,24116,24224,24320,24401,24500,24592,24704,24816,24944,25046,25156,25248,25344,25460,25572,25696,25824,25924,26036,26144,26228,26336,26432,26564,26676,26768,26848,26944,27040,27136,27232,27364,27488,27588,27696,27780,27873,27972,,,,,,,,,,,,,,,,,
20684,20780,20876,20988,21088,21180,21263,21344,21424,21517,21616,21708,21821,21932,22028,22108,22192,22272,22352,22448,22544,22656,22752,22848,22940,23020,23100,23180,23264,23356,23468,23580,23680,23760,23840,23916,23996,24076,24176,24268,24380,24480,24572,24652,24732,24816,24896,24988,25088,25200,25308,25392,25484,25564,25644,25724,25820,25904,26016,26112,26208,26300,26380,26460,26541,26624,26716,26828,26940,27040,27132,27212,27296,27376,27456,27548,27648,,,,,,,,,,,,
20336,20435,20544,20656,20755,20835,20912,20992,21072,21171,21265,21376,21488,21588,21668,21760,21840,21936,22019,22131,22243,22336,22435,22516,22592,22672,22752,22851,22944,23056,23155,23250,23344,23424,23504,23584,23664,23764,23875,23984,24067,24160,24240,24320,24416,24499,24592,24704,24816,24915,25008,25088,25172,25264,25344,25444,25555,25664,25747,25840,25920,26000,26080,26176,26259,26368,26464,26564,26656,26736,26816,26896,26976,27059,27171,27283,27376,27475,27556,27632,27712,27792,27891,27984,,,,,
21091,21171,21251,21344,21456,21568,21680,21779,21871,21952,22048,22131,22224,22335,22447,22547,22639,22720,22803,22899,22995,23088,23187,23299,23395,23487,23568,23648,23728,23811,23904,24016,24128,24227,24307,24387,24479,24563,24643,24735,24835,24947,25055,25139,25216,25295,25376,25455,25555,25648,25763,25859,25952,26019,26099,26179,26259,26355,26447,26547,26656,26739,26832,26912,26992,27072,27167,27251,27363,27475,,,,,,,,,,,,,,,,,,,
20787,20880,20960,21040,21120,21216,21299,21411,21507,21603,21696,21779,21859,21939,22019,22112,22224,22336,22435,22528,22608,22704,22784,22864,22963,23056,23155,23248,23344,23408,23488,23572,23651,23731,23824,23936,24048,24144,24227,24308,24387,24467,24563,24659,24771,24868,24963,25056,25139,25232,25312,25411,25504,25616,25728,25824,25907,26000,26096,26176,26259,26352,26465,26576,26675,26755,26835,26912,26992,27072,27171,27264,27376,27475,27568,27648,27731,27811,27891,27984,,,,,,,,,
20788,20868,20961,21073,21184,21284,21377,21444,21525,21601,21680,21780,21873,21984,22097,22176,22273,22353,22436,22528,22641,22753,22852,22932,23012,23108,23188,23268,23360,23460,23572,23664,23764,23845,23937,24017,24112,24196,24308,24420,24513,24596,24676,24756,24848,24929,25028,25108,25220,25312,25412,25492,25573,25649,25729,25828,25921,26033,26145,26257,26336,26417,26497,26577,26673,,,,,,,,,,,,,,,,,,,,,,,,
20892,20972,21053,21152,21264,21375,21456,21549,21644,21725,21805,21884,21984,22077,22193,22288,22381,22461,22541,22640,22720,22813,22924,23037,23136,23229,23309,23378,23453,23533,23632,23725,23836,23949,24044,24124,24205,24285,24368,24464,24556,24656,24765,24848,24940,25020,25116,25196,25280,25372,25484,25596,25696,25778,25856,25933,26013,26092,26192,26284,26397,26496,26588,26668,26748,26832,26912,27005,27104,27216,27325,27408,27500,27581,27660,27740,27836,27920,,,,,,,,,,,
20608,20688,20768,20861,20972,21085,21184,21277,21357,21436,21517,21612,21693,21792,21900,22000,22092,22176,22269,22349,22429,22528,22620,22733,22844,22940,23020,23101,23180,23261,23341,23440,23552,23660,23744,23824,23904,23981,24048,24128,24208,24288,24380,24480,24592,24672,24764,24861,24960,25052,25152,25260,25360,25452,25536,25616,25696,25776,25869,25968,26080,26173,26272,26352,26432,26508,26588,26688,26780,26893,27004,27100,27181,27261,27341,27421,27500,27600,27692,27805,27900,27984,,,,,,,
20880,20960,21040,21140,21251,21344,21444,21524,21604,21696,21792,21892,22000,22100,22192,22276,22368,22468,22547,22640,22740,22852,22944,23044,23124,23204,23284,23364,23460,23552,23667,23764,23860,23956,24036,24116,24208,24307,24400,24512,24624,24736,24816,24912,24995,25088,25187,25299,25412,25504,25600,25680,25760,25840,25920,26019,26112,26228,26324,26416,26496,26592,26672,26752,26835,26948,27059,27171,27264,27344,27427,,,,,,,,,,,,,,,,,,
