59.756,9.7143,-25.586,18.384,-6.0964,1.0485,-0.075656,60.382,-16.928,34.56,-33.191,15.593,-3.3006,0.252
68.676,25.206,-69.305,48.67,-14.286,1.8908,-0.094301,70.367,18.496,-53.286,35.511,-9.2666,0.97992,-0.031005
66.675,1.9348,-3.8828,-6.8538,5.9859,-1.4599,0.11211,65.656,7.549,-22.261,10.187,-0.096754,-0.55114,0.065
81.917,-38.507,8.7692,9.4801,-4.195,0.46302,-0.0031068,88.876,-53.05,22.114,7.2577,-5.2619,0.83292,-0.033596
75.077,14.211,-48.853,34.699,-10.551,1.5085,-0.084994,78.954,-6.7959,-10.642,8.2646,-1.2386,-0.17245,0.035905
60.352,1.3537,-22.934,17.431,-4.5463,0.41672,-0.0053801,80.317,-45.198,38.697,-17.394,5.414,-1.0654,0.086874
62.031,2.1476,-11.693,7.0963,-1.3446,0.026387,0.0094874,62.388,0.74388,-5.7451,2.0084,0.7092,-0.37462,0.039306
77.202,-41.2,42.073,-20.349,5.7756,-0.9426,0.065429,76.473,-27.879,28.401,-13.86,4.2138,-0.77019,0.059228
66.383,-7.8749,-1.7116,1.2259,0.53351,-0.28026,0.029613,66.522,-1.5756,-14.412,11.956,-3.2207,0.25919,0.00481
83.009,-49.563,24.295,5.0474,-5.5628,1.175,-0.077269,84.12,-52.432,36.714,-7.9356,-0.044244,0.14653,-0.0072952
70.895,-38.56,27.897,-7.5525,1.2529,-0.25587,0.028403,69.952,-8.6219,-1.3964,1.2119,0.28192,-0.22838,0.028708
68.373,-25.526,14.994,-2.1197,0.054564,-0.11935,0.022207,67.192,-21.746,7.0667,5.0473,-3.0319,0.51099,-0.026535
61.288,2.2073,-28.869,24.931,-7.9479,1.082,-0.053125,60.646,-11.002,-4.4278,6.6364,-0.8459,-0.30233,0.051458
53.516,-1.6602,-33.054,41.66,-17.497,3.0834,-0.19723,56.197,-21.214,24.896,-8.3401,1.2595,-0.17324,0.017834
54.333,-21.24,11.237,14.185,-10.918,2.4685,-0.18175,54.256,-17.282,15.118,5.1876,-5.6564,1.2764,-0.089455
61.67,-23.751,0.39383,14.08,-7.196,1.328,-0.084278,58.792,-27.214,11.759,5.8633,-4.4517,0.87176,-0.05398
85.752,-61.231,58.921,-25.965,6.9652,-1.1741,0.087999,87.149,-59.302,62.609,-30.706,9.0888,-1.6041,0.1205
73.751,1.0075,-32.347,32.089,-12.32,2.1362,-0.14075,78.482,-10.153,-4.0518,7.1985,-1.991,0.1093,0.0092398
62.734,-1.1015,-1.6142,-1.8317,2.0199,-0.52661,0.041582,66.282,-1.9493,2.1262,-7.8255,5.7483,-1.4643,0.12257
60.816,13.006,-46.416,35.056,-10.707,1.4274,-0.068166,73.341,-31.669,17.057,1.7842,-3.0944,0.6787,-0.044405
73.691,-22.343,12.714,5.6786,-3.6636,0.47902,-0.0087336,74.111,-21.989,17.265,-1.3343,-0.070025,-0.29752,0.051612
84.774,-37.106,28.152,-9.859,3.2486,-0.83958,0.082691,86.87,-63.411,75.474,-44.993,15.314,-2.7336,0.19201
77.078,-23.148,25.913,-18.5,8.1374,-1.7699,0.14204,79.563,-16.741,19.307,-15.069,7.304,-1.6875,0.13991
74.47,-21.478,2.8501,12.196,-6.6074,1.2265,-0.076957,72.286,-16.178,0.46785,12.582,-6.5128,1.182,-0.072725
67.933,1.6991,-34.394,43.099,-19.701,3.7986,-0.26324,66.227,-5.4975,-13.401,26.4,-13.911,2.8777,-0.20844
56.329,-19.659,16.502,-6.3319,2.3926,-0.64967,0.065456,66.148,4.4652,-43.474,37.549,-12.55,1.8774,-0.1069
58.691,-10.699,-7.8816,16.292,-6.9402,1.103,-0.057404,61.56,5.1831,-13.424,1.7039,2.9775,-1.0495,0.097124
