67.295,67.177,66.864,66.37,65.953,65.593,65.37,65.634,66.298,67.052,67.57,68.089,68.435,68.661,68.737,68.69,68.707,68.759,67.775,66.969,66.194,65.231,64.419,63.905,63.554,63.402,63.524,63.727,64.042,64.634,65.466,66.195,66.704,66.995,67.06,66.958,66.182,65.051,63.885,62.532,60.843,59.275,58.018,57.016,56.422,56.469,56.916,57.675,58.396,59.14,59.674,60.247,61.183,61.433,61.201,60.794,60.268,59.779,59.315,58.961,58.756,58.677,58.745,58.92,59.055,59.003,58.949,58.989,58.994,59.042,59.103,59.124,,,,,,,,,,,,,,,
71.407,71.399,71.313,71.08,70.704,70.092,68.959,67.685,65.966,63.971,62.512,60.769,59.719,58.491,57.695,57.399,57.414,57.764,58.457,59.281,60.297,61.632,63.159,64.606,65.912,67.04,67.984,68.914,69.826,70.648,71.094,71.349,71.447,71.441,71.286,71.039,70.655,70.05,68.983,67.604,65.988,63.915,61.955,60.079,58.474,57.449,57.145,57.201,57.588,58.3,59.349,60.395,61.338,62.497,63.913,64.777,65.244,65.36,65.162,64.686,63.998,63.117,62.107,61.353,60.968,60.775,60.693,60.783,61.041,61.431,61.637,61.741,,,,,,,,,,,,,,,
66.197,66.064,65.849,65.594,65.3,64.914,64.515,64.014,63.268,62.023,60.763,59.688,58.664,58.014,57.639,57.352,57.158,57.055,57.05,57.211,57.651,58.285,58.906,59.682,60.423,61.198,62.049,63.177,64.398,65.985,67.492,68.611,69.495,70.21,70.769,71.071,71.246,71.321,71.276,70.939,70.481,69.871,69.363,68.655,67.868,66.942,65.669,63.841,60.976,58.222,56.431,55.372,54.749,54.383,54.285,54.411,54.951,56.204,57.495,58.614,59.528,60.523,61.611,62.53,63.394,63.954,64.268,64.35,64.349,64.339,64.34,64.33,64.312,64.31,64.384,64.489,64.57,64.722,65.03,65.181,65.207,,,,,,
81.418,81.273,80.547,78.839,77.196,75.417,73.365,70.985,69.486,68.677,68.217,68.28,68.665,69.071,69.386,69.664,69.922,69.999,70.231,70.71,71.298,72.082,73.064,74.303,75.607,77.279,79.089,80.471,80.961,81.357,81.711,81.839,81.858,81.733,81.433,80.666,79.6,78.436,77.142,75.67,73.598,70.935,68.303,65.566,62.958,61.488,61.02,61.061,61.286,62.125,63.227,64.285,65.401,66.729,68.438,69.349,69.748,69.811,69.73,69.621,69.632,69.882,70.435,71.295,72.176,72.885,73.351,73.478,73.604,73.808,73.945,74.057,74.102,,,,,,,,,,,,,,
78.344,77.965,77.153,76.162,75.059,73.828,72.449,70.965,69.645,68.2,67.045,66.22,65.715,65.323,65.178,65.236,65.426,65.994,66.575,66.878,67.288,67.71,68.019,68.192,68.234,68.157,68.157,68.296,68.363,68.557,68.896,69.301,69.647,69.645,69.371,68.737,67.605,66.113,64.322,62.428,60.406,58.896,57.988,57.539,57.403,57.57,57.931,58.484,59.222,60.419,61.375,62.164,62.747,63.283,63.778,64.294,64.847,65.524,66.346,67.127,68.005,68.809,69.871,71.323,72.365,73.03,73.49,,,,,,,,,,,,,,,,,,,,
62.007,61.887,61.634,61.202,60.768,60.307,59.547,58.476,57.081,55.658,54.159,53.061,52.393,51.942,51.579,51.345,51.241,51.281,51.434,51.756,52.183,52.665,53.141,53.578,54.062,54.602,55.233,55.971,56.809,57.459,57.951,58.276,58.526,58.8,59.045,59.274,59.438,59.564,59.851,60.037,60.057,59.967,59.712,59.255,58.562,56.904,54.916,53.31,52.084,51.087,50.671,50.487,50.491,50.825,51.536,52.482,53.439,53.95,54.642,55.246,55.557,55.716,55.768,55.701,55.584,55.573,55.725,56.065,56.4,57.041,57.702,58.491,59.303,60.131,61.003,62.022,62.735,63.201,63.259,,,,,,,,
62.361,62.343,62.286,62.177,62.107,62.048,61.794,61.127,60.639,60.144,59.735,59.474,59.158,58.934,58.775,58.73,58.734,58.737,58.8,58.888,58.911,58.819,58.786,58.87,59.132,59.619,60.113,60.631,61.089,61.462,61.817,62.099,62.297,62.421,62.522,62.49,62.458,62.436,62.411,62.314,62.188,62.001,61.577,61.032,60.322,59.647,59.087,58.576,58.266,58.063,58.026,58.295,58.814,59.495,60.086,60.586,61.068,61.677,62.036,62.148,62.115,61.876,61.5,61.06,60.683,60.376,60.164,60.125,60.391,60.985,61.68,62.299,62.934,63.615,64.293,64.86,65.38,65.691,65.752,,,,,,,,
64.309,64.28,64.207,63.837,63.491,62.786,61.503,60.48,59.994,59.791,59.892,60.059,60.339,60.87,61.56,62.127,62.89,63.817,64.335,64.65,64.886,65.095,65.277,65.606,65.936,66.42,67.053,67.593,68.27,68.933,69.742,70.45,71.081,71.422,71.686,71.661,71.397,71.017,70.404,69.654,68.733,67.651,66.353,64.594,62.463,60.573,59.319,58.513,57.909,57.453,57.227,57.105,57.221,57.515,57.822,58.179,58.547,58.947,59.208,59.46,59.761,60.273,60.854,61.772,62.878,63.746,64.307,64.581,64.741,64.743,64.771,64.766,64.715,64.746,64.789,,,,,,,,,,,,
56.527,56.172,55.869,55.759,55.704,55.668,55.663,55.655,55.657,55.743,55.935,56.191,56.461,56.839,57.197,57.457,57.8,58.338,59.148,60.233,61.256,61.932,62.419,62.609,62.662,62.593,62.32,62.149,61.922,61.689,61.584,61.536,61.412,61.232,61.093,60.965,60.892,60.29,59.168,57.637,55.886,54.969,54.204,53.809,53.592,53.543,53.689,54.133,54.708,55.363,55.98,56.649,57.543,58.581,59.417,60.243,60.98,61.557,62.064,62.456,62.816,63.145,63.418,63.65,63.973,64.273,64.615,64.966,65.413,65.822,66.101,66.327,66.462,66.477,,,,,,,,,,,,,
69.318,69.097,68.494,67.483,65.798,64.06,63.051,62.474,62.199,62.111,62.276,62.627,63.287,63.985,64.655,65.211,65.736,65.995,66.17,66.259,66.321,66.452,66.728,67.187,67.636,67.971,68.147,68.158,67.942,67.53,67.054,66.677,66.166,65.751,65.486,65.144,64.674,64.224,63.844,63.202,62.326,61.115,59.967,59.078,58.512,58.265,58.036,57.825,57.695,57.763,57.875,57.824,57.676,57.696,57.606,57.29,57.147,57.159,57.463,58.187,59.032,59.988,60.766,61.321,61.806,62.288,62.777,63.379,63.902,64.426,65.139,65.92,66.356,66.625,66.88,66.948,,,,,,,,,,,
