77.515,73.141,69.318,66.068,63.357,61.161,59.507,58.373,57.786,57.847,58.547,59.688,61.041,62.238,63.473,64.782,66.22,67.715,69.128,70.159,70.684,70.915,71.016,71.297,71.728,72.191,73.037,73.952,74.281,74.254,73.98,72.615,70.305,66.944,63.315,60.635,58.869,57.891,57.544,57.816,58.83,60.387,61.998,63.623,65.375
73.379,70.95,68.795,66.902,65.29,63.963,62.903,62.127,61.592,61.313,61.354,61.749,62.544,63.636,64.712,65.595,66.341,66.921,67.167,67.101,66.886,66.62,66.497,66.465,66.633,67.048,67.455,67.832,68.264,68.741,69.136,69.51,69.849,69.978,69.659,68.907,67.914,66.924,66.182,65.792,65.573,65.479,65.475,65.595,65.821
70.35,68.74,67.307,66.064,65.008,64.125,63.409,62.862,62.468,62.217,62.144,62.26,62.591,63.025,63.555,63.984,64.365,64.638,65.066,65.609,66.208,66.889,67.575,68.042,68.288,68.463,68.558,68.499,68.249,67.765,67.081,66.111,64.562,62.416,59.968,57.758,56.423,55.861,55.671,55.927,56.642,57.62,58.483,59.241,60.128
81.845,77.686,73.915,70.513,67.488,64.828,62.569,60.671,59.122,57.903,57.12,56.751,56.823,57.211,57.895,58.917,60.287,62.02,63.899,65.723,67.289,68.351,68.925,69.138,69.374,69.577,69.834,70.266,70.688,70.937,71.152,71.218,70.791,69.457,66.976,64.287,61.803,60.127,59.118,58.641,58.588,59.045,59.948,61.275,63.014
75.248,70.41,66.119,62.431,59.296,56.698,54.686,53.247,52.403,52.197,52.642,53.482,54.612,55.96,57.309,58.392,59.085,59.26,59.21,59.056,59.089,59.591,60.683,62.011,63.255,64.564,66.079,67.346,68.052,68.194,67.764,66.619,64.773,62.311,59.921,58.066,56.829,56.164,55.953,56.128,56.936,58.096,59.292,60.499,61.991
72.872,69.24,66.104,63.421,61.17,59.38,58.003,57.037,56.526,56.504,56.914,57.633,58.569,59.512,60.427,61.264,61.911,62.335,62.593,62.744,62.862,63.037,63.375,63.711,63.927,64.186,64.593,64.859,64.892,64.589,63.885,62.674,60.91,58.729,56.568,54.645,53.115,51.978,51.151,50.604,50.294,50.327,50.543,50.927,51.494
67.887,65.736,63.846,62.203,60.853,59.759,58.936,58.367,58.043,58.006,58.51,59.188,59.878,60.565,60.936,61.066,61.033,60.891,60.667,60.395,60.166,60.083,60.195,60.515,60.983,61.443,62.006,62.92,63.794,64.445,64.865,64.813,64.309,63.31,61.773,60.191,58.942,58.19,57.738,57.425,57.276,57.475,57.904,58.407,58.967
76.465,73.315,70.544,68.145,66.162,64.569,63.298,62.394,61.875,61.884,62.253,62.794,63.457,64.191,64.952,65.635,66.164,66.574,66.949,67.375,67.815,68.116,68.236,68.209,68.173,68.283,68.555,68.937,69.208,69.289,69.235,69.179,68.955,68.174,66.793,65.198,63.847,63.046,62.574,62.281,62.281,62.353,62.35,62.407,62.676
75.152,71.295,67.882,64.955,62.529,60.511,58.976,57.849,57.153,57.004,57.536,58.621,59.993,61.539,62.947,63.921,64.493,64.567,64.14,63.356,62.336,61.294,60.529,60.277,60.393,60.701,61.399,62.608,63.644,64.184,64.458,64.617,64.133,62.578,60.404,58.05,56.114,54.744,53.84,53.185,52.731,52.612,53.048,53.716,54.447
82.692,77.859,73.528,69.725,66.491,63.744,61.479,59.69,58.418,57.674,57.604,58.056,58.875,59.965,61.162,62.351,63.468,64.441,65.309,65.997,66.546,67.01,67.421,67.746,67.908,67.991,68.06,68.05,67.863,67.445,66.767,65.771,64.393,62.706,61.012,59.572,58.659,58.082,57.832,57.703,57.691,57.94,58.249,58.57,59.047
70.543,67.046,63.968,61.27,59.011,57.112,55.59,54.404,53.562,53.137,53.255,53.554,54.118,54.926,55.824,56.685,57.548,58.291,58.867,59.353,59.759,60.191,60.619,61.002,61.476,61.83,62.133,62.479,62.719,62.656,62.254,61.407,60.149,58.651,57.088,55.581,54.236,53.194,52.495,52.046,51.982,52.214,52.698,53.185,53.653
68.039,65.507,63.419,61.783,60.587,59.818,59.423,59.415,59.818,60.737,62.212,63.921,65.365,66.29,66.813,67.042,67.089,66.933,66.483,65.72,64.84,64.103,63.641,63.412,63.207,63.059,63.054,63.178,63.24,63.166,62.834,62.022,60.659,58.994,57.249,55.86,54.858,54.157,53.735,53.565,53.765,54.3,55.027,55.917,56.806
61.412,59.444,57.773,56.391,55.329,54.553,54.069,53.81,53.878,54.269,55.163,56.154,57.049,57.958,58.545,58.948,59.348,59.691,59.872,59.907,59.853,59.75,59.546,59.272,59.115,58.98,58.974,59.149,59.356,59.344,59.192,58.982,58.241,56.666,54.723,52.94,51.821,51.314,51.002,51.02,51.4,51.993,52.53,52.983,53.597
70.029,65.684,61.931,58.709,56.077,53.987,52.428,51.392,50.924,51.059,51.757,52.887,54.167,55.384,56.502,57.488,58.313,58.9,59.207,59.165,58.837,58.391,57.992,57.749,57.662,57.736,57.976,58.408,58.671,58.806,59.006,58.973,58.176,56.606,54.705,52.645,51.054,50.058,49.569,49.362,49.38,49.705,50.19,50.834,51.744
64.588,61.218,58.25,55.706,53.516,51.691,50.24,49.181,48.519,48.26,48.491,48.992,49.699,50.552,51.55,52.662,53.854,55.06,56.238,57.304,58.267,59.074,59.676,60.226,60.699,61.116,61.618,62.138,62.273,62.108,61.589,60.644,59.117,56.9,54.425,52.148,50.337,48.997,47.999,47.261,46.824,46.991,47.458,47.973,48.622
61.974,59.029,56.404,54.103,52.114,50.405,48.985,47.845,47.02,46.478,46.294,46.466,46.887,47.281,47.639,48.04,48.519,49.064,49.694,50.414,51.169,51.886,52.338,52.768,53.149,53.295,53.256,53.062,52.696,52.143,51.418,50.522,49.529,48.49,47.545,46.76,46.26,46.033,45.92,45.931,46.068,46.246,46.349,46.576,46.788
84.552,79.829,75.69,72.127,69.137,66.648,64.721,63.3,62.448,62.167,62.488,63.196,64.18,65.371,66.781,68.368,69.941,71.319,72.347,73.02,73.161,72.926,72.718,72.574,72.832,72.844,73.048,73.529,74.035,74.126,73.856,73.017,71.525,69.46,67.232,65.027,63.057,61.382,59.932,58.713,57.937,57.78,58.255,59.275,60.684
78.965,74.644,70.837,67.528,64.753,62.515,60.748,59.509,58.737,58.448,58.961,60.167,61.534,62.944,63.975,64.529,64.558,64.158,63.513,62.9,62.587,62.674,62.955,63.382,63.866,64.412,65.029,65.641,66.298,66.952,67.484,67.92,68.246,68.331,68.116,67.552,66.869,66.099,65.379,64.685,64.064,63.624,63.567,63.864,64.46
75.022,72.409,70.057,67.973,66.17,64.617,63.297,62.201,61.352,60.819,60.84,60.934,60.834,60.59,59.819,58.741,57.525,56.441,55.593,55.294,55.519,56.183,57.135,57.874,58.382,58.915,59.358,59.474,59.389,59.164,58.747,58.243,57.809,57.289,56.766,56,55.346,54.929,54.878,55.128,55.554,56.183,57.136,58.078,59.005
68.338,65.356,62.709,60.418,58.46,56.851,55.585,54.617,53.947,53.632,53.706,54.044,54.6,55.269,56.035,56.824,57.597,58.321,58.954,59.363,59.549,59.499,59.288,59.061,58.775,58.465,58.256,58.064,57.794,57.473,57.129,56.709,55.913,54.694,53.301,52.091,51.232,50.643,50.324,50.184,50.279,50.64,51.187,51.859,52.73
